country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,98.3,98.3,98.2,98.1,98.1,98,97.9,97.9,97.8,97.7,97.7,97.6,97.5,97.5,97.5,97.5,97.5,,,,
Afghanistan,21.9,21.9,23.3,24.7,26.1,27.5,28.9,30.4,31.9,33.4,34.9,36.4,38,39.5,41.1,42.6,44.2,45.8,47.4,49,50.5
Angola,27.6,29,30.4,31.9,33.3,34.7,36,37.3,38.5,39.8,41.1,42.3,43.6,44.9,46.1,47.4,48.6,49.9,51.1,51.4,51.7
Albania,89.5,90,90.6,91.2,91.7,92.3,92.9,93.5,94.1,94.6,95.2,95.7,96.2,96.7,97.2,97.7,98.1,98.5,99,99.2,99.3
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Arab Emirates,,,97.4,97.4,97.4,97.4,97.4,97.5,97.6,97.8,97.9,98.1,98.2,98.3,98.5,98.6,98.7,98.9,99,99.1,99.2
Argentina,87.2,87.8,88.3,88.8,89.3,89.9,90.4,90.9,91.4,92,92.5,93,93.6,94,94.5,94.9,95.4,,,,
Armenia,87,87.3,87.7,88.1,88.5,88.9,89.3,89.7,90.1,90.5,90.9,91.3,91.7,92.1,92.5,92.9,93.2,93.5,93.7,93.9,93.9
American Samoa,64.9,64.9,64.9,64.9,64.9,64.9,64.8,64.8,64.8,63.7,62.5,61.4,60.2,59.1,57.9,56.8,55.6,54.5,54.5,54.5,54.5
Antigua and Barbuda,82.4,82.8,83.2,83.6,84,84.4,84.8,85.2,85.5,85.9,86.3,86.7,87.1,87.5,87.5,87.5,87.5,87.5,,,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,62.3,64.2,66.1,67.9,69.8,72.3,74.7,77.2,79.7,82.2,84.8,87.3,89.9,92.4,94.3,96.1,96.1,96.1,96.1,96.1,
Burundi,45.2,45.4,45.6,45.8,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.8,45.8,45.7,45.7
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Benin,9.2,9.5,9.82,10.2,10.5,10.9,11.2,11.6,12,12.4,12.8,13.1,13.5,14,14.4,14.8,15.2,15.6,16.1,16.5,17
Burkina Faso,10.6,10.9,11.7,12.6,13.4,14.2,14.9,15.6,16.2,16.8,17.4,17.9,18.4,18.9,19.4,19.8,20.2,20.6,21,21.3,21.7
Bangladesh,23.7,25.2,26.7,28.1,29.6,31.2,32.8,34.3,35.9,37.5,39,40.6,42.1,43.7,45.2,46.7,48.2,49.7,51.2,52.7,54.2
Bulgaria,85.8,85.8,85.8,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,86,86,86,86,86,86,86,86,86
Bahrain,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahamas,87.6,88.1,88.6,89.2,89.7,90.2,90.7,91.3,91.8,92.3,92.8,93.4,93.9,94.2,94.6,94.9,94.9,94.9,94.9,94.9,
Bosnia and Herzegovina,95.1,95.1,95.1,95.1,95.1,95.1,95.2,95.2,95.2,95.2,95.2,95.2,95.3,95.3,95.3,95.3,95.3,95.4,95.4,,
Belarus,91.6,91.6,91.5,91.5,92,92.6,93.1,93.7,94.3,94.8,95.4,96,96.6,97.2,97.8,97.8,97.8,97.8,97.9,97.9,97.9
Belize,82.4,82.8,83.1,83.4,83.7,84.1,84.4,84.7,85,85.3,85.6,85.9,86.3,86.6,86.9,87.2,87.5,87.9,88.2,88.2,88.2
Bermuda,100,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Bolivia,34.9,36,37.1,38.2,39.4,40.5,41.6,43.2,44.8,46.4,48.1,49.8,51.5,53.2,54.9,56.7,58.5,60.2,62.1,63.9,65.8
Brazil,73.1,74,74.9,75.8,76.7,77.6,78.4,79.3,80.2,81,81.9,82.7,83.5,84.4,85.2,86,86.9,87.7,88.5,89.3,90.1
Barbados,88.9,89.4,89.9,90.4,90.9,91.4,91.9,92.4,92.9,93.4,93.9,94.4,94.9,95.4,95.9,96.4,96.9,97.3,97.3,98.1,98.1
Brunei,,,,,,,,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,,,,,
Bhutan,47,47.4,49.2,51.1,52.9,54.7,56.3,57.9,59.5,61.1,62.6,64.1,65.6,67.1,68.5,69.9,71.3,72.6,73.9,75.2,76.5
Botswana,51.9,53.3,54.6,55.9,57.2,58.5,59.9,61.6,63.3,65.1,66.8,68.6,70.1,71.7,73.2,74.8,76,77.3,78.5,79.8,80
Central African Republic,20.6,20.5,20.5,20.5,20.4,20,19.5,19.1,18.7,18.3,17.9,17.5,17.1,16.7,16.3,16,15.6,15.2,14.8,14.5,14.1
Canada,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.7,99.6,99.6,99.5,99.5,99.4,99.4,99.3,99.3,99.2,99.1,99.1,99,99
Channel Islands,,,,,,,,,,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,,,
Switzerland,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Chile,92.2,92.8,93.3,93.8,94.3,94.8,95.2,95.7,96.2,96.6,97.1,97.6,98,98.5,98.9,99.4,99.7,100,100,100,100
China,57,57.7,59.8,61.9,64,66.1,68,70,71.9,73.8,75.7,77.5,79.3,81,82.7,84.4,86.1,87.7,89.3,90.9,92.4
Cote d'Ivoire,21,21.4,21.8,22.2,22.7,23.3,24,24.7,25.4,26.2,26.9,27.6,28.4,29.1,29.9,30.7,31.4,32.2,33.1,33.9,34.6
Cameroon,37.5,37.6,37.6,38,38.3,38.7,39.1,39.5,39.8,40.2,40.6,41,41.4,41.8,42.2,42.6,43,43.4,43.8,44.2,44.6
"Congo, Dem. Rep.",24.1,23.7,23.3,22.8,22.4,22.1,21.6,21.1,20.6,20.1,19.6,19.2,18.7,18.3,17.8,17.4,17,16.6,16.2,15.8,15.4
"Congo, Rep.",11.9,12,12.3,12.6,13.1,13.6,14,14.5,15,15.6,16.1,16.6,17.2,17.8,18.3,18.9,19.5,20.2,20.3,20.4,20.5
Colombia,74.8,75.8,76.7,77.7,78.6,79.6,80.5,81.5,82.4,83.4,84.3,85.3,86.2,87.2,88.1,89,90,90.9,91.8,92.8,93.7
Comoros,29.2,30.4,31.1,31.6,32.1,32.6,33.1,33.4,33.8,34.1,34.3,34.5,34.7,34.8,34.9,35.8,35.8,35.9,35.9,35.9,
